,city,detailed_location,tipology,price,area,area_per_square_meter,bathrooms,apartament_state
7247,Setúbal,"Baixa da Banheira e Vale da Amoreira, Moita, Setúbal",T1,75 000 €,65 m²,1 154 €/m²,Casas de Banho: 1,Usado
7248,Santarém,"União de Freguesias da cidade de Santarém, Santarém",T3,98 000 €,106 m²,925 €/m²,Casas de Banho: 2,Renovado
7249,Setúbal,"Baixa da Banheira e Vale da Amoreira, Moita, Setúbal",T2,86 500 €,61 m²,1 418 €/m²,Casas de Banho: 1,Usado
7250,Lisboa,"Mina de Água, Amadora, Lisboa",T2,126 500 €,48 m²,2 635 €/m²,Casas de Banho: 1,Renovado
7251,Porto,"Ermesinde, Valongo, Porto",Vídeo,T2,115 000 €,66 m²,1 742 €/m²,Casas de Banho: 2
7252,Faro,"Portimão, Faro",T3,139 000 €,"84,06 m²",1 654 €/m²,Casas de Banho: 2,Usado
7253,Porto,"Aldoar, Foz do Douro e Nevogilde, Porto",Vídeo,T3,330 000 €,"123,60 m²",2 670 €/m²,Casas de Banho: 2
7254,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",Vídeo,T1,198 000 €,44 m²,4 500 €/m²,Casas de Banho: 1
7255,Lisboa,"Santo António, Lisboa",T2,410 000 €,76 m²,5 395 €/m²,Casas de Banho: 1,Renovado
7256,Lisboa,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa",T3,599 000 €,145 m²,4 131 €/m²,Casas de Banho: 3,Usado
7257,Lisboa,"Massamá e Monte Abraão, Sintra, Lisboa",T2,125 000 €,"67,50 m²",1 852 €/m²,Casas de Banho: 1,Usado
7258,Porto,"Ramalde, Porto",Vídeo,T3,420 000 €,"133,74 m²",3 140 €/m²,Casas de Banho: 3
7259,Porto,"Campanhã, Porto",Vídeo,T1,194 500 €,"52,45 m²",3 708 €/m²,Casas de Banho: 2
7260,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T3,420 000 €,143 m²,2 937 €/m²,Casas de Banho: 3,Em construção
7261,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T2,600 000 €,"122,20 m²",4 910 €/m²,Casas de Banho: 2,Usado
7262,Lisboa,"Avenidas Novas, Lisboa",T3,1 400 000 €,179 m²,7 821 €/m²,Casas de Banho: 4 ou mais,Renovado
7263,Lisboa,"Carnaxide e Queijas, Oeiras, Lisboa",T2,395 000 €,"133,50 m²",2 959 €/m²,Casas de Banho: 2,Novo
7264,Lisboa,"Carnaxide e Queijas, Oeiras, Lisboa",T4,830 000 €,"273,20 m²",3 038 €/m²,Casas de Banho: 4 ou mais,Novo
7265,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T3,1 190 000 €,"182,20 m²",6 531 €/m²,Casas de Banho: 2,Usado
7266,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T4,997 000 €,230 m²,4 335 €/m²,Casas de Banho: 3,Usado
7267,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T3,595 000 €,"133,87 m²",4 445 €/m²,Casas de Banho: 3,Usado
7268,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T1,210 000 €,72 m²,2 917 €/m²,Casas de Banho: 1,Renovado
7269,Lisboa,"Porto Salvo, Oeiras, Lisboa",T3,410 000 €,93 m²,4 409 €/m²,Casas de Banho: 2,Usado
7270,Lisboa,"Porto Salvo, Oeiras, Lisboa",T3,430 000 €,93 m²,4 624 €/m²,Casas de Banho: 2,Usado
7271,Lisboa,"Porto Salvo, Oeiras, Lisboa",T3,420 000 €,93 m²,4 516 €/m²,Casas de Banho: 2,Usado
7272,Lisboa,"Carnaxide e Queijas, Oeiras, Lisboa",T2,395 000 €,"133,50 m²",2 959 €/m²,Casas de Banho: 2,Novo
7273,Lisboa,"Carnaxide e Queijas, Oeiras, Lisboa",T4,830 000 €,"273,20 m²",3 038 €/m²,Casas de Banho: 4 ou mais,Novo
7274,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T3,1 190 000 €,"182,20 m²",6 531 €/m²,Casas de Banho: 2,Usado
7275,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T4,997 000 €,230 m²,4 335 €/m²,Casas de Banho: 3,Usado
7276,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T3,595 000 €,"133,87 m²",4 445 €/m²,Casas de Banho: 3,Usado
7277,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T1,210 000 €,72 m²,2 917 €/m²,Casas de Banho: 1,Renovado
7278,Lisboa,"Porto Salvo, Oeiras, Lisboa",T3,410 000 €,93 m²,4 409 €/m²,Casas de Banho: 2,Usado
7279,Lisboa,"Porto Salvo, Oeiras, Lisboa",T3,430 000 €,93 m²,4 624 €/m²,Casas de Banho: 2,Usado
7280,Lisboa,"Porto Salvo, Oeiras, Lisboa",T3,420 000 €,93 m²,4 516 €/m²,Casas de Banho: 2,Usado
7281,Lisboa,"Porto Salvo, Oeiras, Lisboa",T3,430 000 €,93 m²,4 624 €/m²,Casas de Banho: 2,Usado
7282,Lisboa,"Porto Salvo, Oeiras, Lisboa",T2,380 000 €,82 m²,4 634 €/m²,Casas de Banho: 2,Usado
7283,Lisboa,"Porto Salvo, Oeiras, Lisboa",T2,370 000 €,82 m²,4 512 €/m²,Casas de Banho: 2,Usado
7284,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T2,365 000 €,100 m²,3 650 €/m²,Casas de Banho: 3,Usado
7285,Faro,"Estômbar e Parchal, Lagoa (Algarve), Faro",T3,195 000 €,127 m²,1 535 €/m²,Casas de Banho: 2,Usado
7286,Lisboa,"Águas Livres, Amadora, Lisboa",T3,350 000 €,"120,40 m²",2 907 €/m²,Casas de Banho: 2,Novo
7287,Lisboa,"Avenidas Novas, Lisboa",T4,699 000 €,156 m²,4 481 €/m²,Casas de Banho: 2,Renovado
7288,Lisboa,"São Domingos de Benfica, Lisboa",T4,560 000 €,131 m²,4 275 €/m²,Casas de Banho: 2,Usado
7289,Porto,"Ramalde, Porto",T3,355 000 €,136 m²,2 610 €/m²,Casas de Banho: 2,Novo
7290,Santarém,"Almeirim, Santarém",T2,89 900 €,66 m²,1 362 €/m²,Casas de Banho: 1,Renovado
7291,Santarém,"Almeirim, Santarém",T3,138 950 €,144 m²,965 €/m²,Casas de Banho: 2,Usado
7292,Santarém,"União de Freguesias da cidade de Santarém, Santarém",Vídeo,T3,85 000 €,98 m²,867 €/m²,Casas de Banho: 2
7293,Lisboa,"Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa",T2,195 750 €,95 m²,2 061 €/m²,Casas de Banho: 1,Renovado
7294,Braga,"São Victor, Braga",T3,149 000 €,130 m²,1 146 €/m²,Casas de Banho: 2,Renovado
7295,Braga,"Nogueira, Fraião e Lamaçães, Braga",T4,239 000 €,175 m²,1 366 €/m²,Casas de Banho: 3,Usado
7296,Porto,"Rio Tinto, Gondomar, Porto",92 500 €,60 m²,1 542 €/m²,Casas de Banho: 1,Usado,
7297,Lisboa,"Estrela, Lisboa",T2,625 000 €,92 m²,6 793 €/m²,Casas de Banho: 2,Em construção
